concentration,A562,replicate,sample,,
2000.0,0.7618,1,standard,,
1000.0,0.6448,1,standard,,
500.0,0.4476,1,standard,,
250.0,0.2509,1,standard,,
125.0,0.1491,1,standard,,
62.5,0.0887,1,standard,,
31.3,0.0838,1,standard,,
0.0,0.0614,1,standard,,
2000.0,0.7508,2,standard,,
1000.0,0.6415,2,standard,,
500.0,0.4257,2,standard,,
250.0,0.2543,2,standard,,
125.0,0.1517,2,standard,,
62.5,0.1065,2,standard,,
31.3,0.076,2,standard,,
0.0,0.0607,2,standard,,
,0.0622,1,blank,,
,0.0983,1,S1,,
,0.1231,1,S2,,
,0.1269,1,S3,,
,0.5073,1,S4,,
,0.1126,1,S5,,
,0.3634,1,S6,,
,0.3363,1,S7,,
,0.4347,1,S8,,
,0.4082,1,S9,,
,0.0609,2,blank,,
,0.1035,2,S1,,
,0.1142,2,S2,,
,0.1211,2,S3,,
,0.512,2,S4,,
,0.0978,2,S5,,
,0.3437,2,S6,,
,0.361,2,S7,,
,0.427,2,S8,,
,0.4179,2,S9,,
